"concept","word","country","gender","preference","id"
"Resilience","This Maize Variety Is Disease Resistant","Uganda","Female","Preferred",1341
"Drought avoidance","This Maize Variety Is Requires Usual Fertilizers","Uganda","Male","Preferred",1342
"Resilience","This Maize Variety Is Resistant To Diseases And Requires Little Fertilizers","Uganda","Female","Preferred",1343
"Intercropping (with beans)","This Maize Variety Requires Little Fertilizers","Uganda","Male","Preferred",1344
"Family nutrition","It Has Vitamin A","Uganda","Female","Preferred",1345
"Resilience","It Is Drought Resistant.","Uganda","Male","Preferred",1346
"Drought avoidance","It Matures In 3 And A Half Months.","Uganda","Female","Preferred",1347
"Intercropping (with beans)","It Produces Two Long Cobs.","Uganda","Male","Preferred",1348
"Home use","Because It Can Be Stored For A Long Period Of Time","Uganda","Male","Preferred",1349
"Intercropping (with beans)","Because It Allows Her Mix With Beans And All Grows Well Since She A Small Piece Of Land For Farming","Uganda","Female","Preferred",1350
"Green maize","It Has A Big Maize Cob","Uganda","Female","Preferred",1351
"Home use","It Can Be Stored For A Long Time Without Making Losses","Uganda","Male","Preferred",1352
"Resilience","Its Drought And Disease Resistant And Can Work In Less Fertile Soils","Uganda","Female","Preferred",1353
"Family nutrition","It Has Vitamin A Good For Childrens Growth","Uganda","Male","Preferred",1354
"Home use","It Takes Long Without Rotting","Uganda","Female","Preferred",1355
"Drought avoidance","It Takes Less Time To Be Yielded Thus Making Sales So Fast.","Uganda","Male","Preferred",1356
"Food and fodder","It Has The Same Market And Dry Leftovers Can Feed Animals","Uganda","Male","Preferred",1357
"Home use","Can Be Stored For Long Periods","Uganda","Female","Preferred",1358
"Resilience","Resistant To Diseases","Uganda","Female","Preferred",1359
"Family nutrition","It Has Vitamins And The Cob Is Compact Compared To Ours","Uganda","Male","Preferred",1360
"Home use","Because It Has Astrong Seed Cover Which Can Help You Keep It For Over Six Monthsit Is","Uganda","Female","Preferred",1361
"Intercropping (with beans)","You Can Grwo Both Beans And Maize On A Same Plot","Uganda","Female","Preferred",1362
"Drought avoidance","It Grows Faster","Uganda","Female","Preferred",1363
"Green maize","Because It Can Be Inter Cropped","Uganda","Male","Preferred",1364
"Food and fodder","Because It Takes Shorter Period To Harvest","Uganda","Male","Preferred",1365
"Family nutrition","Because It Has Vitamin A","Uganda","Female","Preferred",1366
"Resilience","Being Disease Resistant.","Uganda","Female","Preferred",1367
"Resilience","Being Drought And Disease Resistant.","Uganda","Male","Preferred",1368
"Intercropping (with beans)","It Can Be Intercropped With Other Crops And Still One Makes Good Outputs.","Uganda","Female","Preferred",1369
"Green maize","Produces Big Seed It`S Sweet And It Has Market.","Uganda","Male","Preferred",1370
"Home use","Can Be Stored For A Long Time And Be Sold At Good Prices.","Uganda","Female","Preferred",1371
"Family nutrition","Because It Has Vitamin A","Uganda","Male","Preferred",1372
"Food and fodder","It`S Food For Both Humans And Animals.","Uganda","Male","Preferred",1373
"Resilience","Being Drought Resistant And Requires Application Of Less .","Uganda","Male","Preferred",1374
"Intercropping (with beans)","It Produces Two Maize Corbs Per Plant.","Uganda","Female","Preferred",1375
"Resilience","Grows Fast","Uganda","Female","Preferred",1376
"Home use","Stored For Long Time And Sweet","Uganda","Male","Preferred",1377
"Drought avoidance","Drought Resistant","Uganda","Male","Preferred",1378
"Intercropping (with beans)","I Have Limmitted Land So Intercropping Helps To Harvest Beans And Maize At Once","Uganda","Female","Preferred",1379
"Home use","It Can Be Stored For Six Months Without Rotting","Uganda","Male","Preferred",1380
"Green maize","Can Be Sold Fresh Hence Better Returns","Uganda","Male","Preferred",1381
"Drought avoidance","With Limited Rainfall Can Do Well","Uganda","Male","Preferred",1382
"Home use","Because It Is Sweet","Uganda","Female","Preferred",1383
"Resilience","Drought Resistant","Uganda","Female","Preferred",1384
"Intercropping (with beans)","Two Maize Corns","Uganda","Female","Preferred",1385
"Resilience","Not Prone To Pests And Diseases","Uganda","Male","Preferred",1386
"Home use","Sweet Posho","Uganda","Female","Preferred",1387
"Drought avoidance","Because It Takes Shorter Period To Harvest","Uganda","Male","Preferred",1388
"Intercropping (with beans)","Because It Can Be Intercropped With Beans And Still Gives High Yeilds Of Maize","Uganda","Female","Preferred",1389
"Food and fodder","Because It Can Be Eaten By Both Man And Animals","Uganda","Female","Preferred",1390
"Home use","Because It Can Be Kept Up To Six Months Without Getting Spoilt By Weevils","Uganda","Male","Preferred",1391
"Family nutrition","Because Its Big And It Also Contains Vitamin A","Uganda","Female","Preferred",1392
"Livestock feed","Because It Can Be Planted Together With Beans And Also It Yields Two Maize Corns On Each Plant","Uganda","Male","Preferred",1393
"Resilience","Because It Is Resirient To Both Drought And Diseases","Uganda","Male","Preferred",1394
"Home use","Because It Has Strong Kernel Which Helps Us To Keep The Maize For Long","Uganda","Male","Preferred",1395
"Food and fodder","Because It Is For Both Human Consuption And The Forage Is Used For Animal Feeds","Uganda","Female","Preferred",1396
"Resilience","It Is Resistance To Both Drought And Diseases","Uganda","Male","Preferred",1397
"Intercropping (with beans)","It Is White In Colour It Gives High And Bi And Long Con Maize And It Can Give Two Cons On One Plant","Uganda","Female","Preferred",1398
"Home use","The Fact That It Has The Stronger Kernel Which Helps Us To Keep The Maize For Longer Period","Uganda","Female","Preferred",1399
"Resilience","It Is Both Drought And Disease Resistance And It Grows In Low Fertile Soils","Uganda","Female","Preferred",1400
"Resilience","Itnis White And Not Yellow And So It Has Market","Uganda","Male","Preferred",1401
"Intercropping (with beans)","It Yields Bigger Maize Cones According To What I See In The Photo","Uganda","Male","Preferred",1402
"Drought avoidance","It Yields Faster","Uganda","Female","Preferred",1403
"Resilience","It Is Resistant To All Conditions And It Yields More Than What We Have Been Growing","Uganda","Male","Preferred",1404
"Resilience","Because The Land Has Depleted In Nutirents And Less Rain","Uganda","Female","Preferred",1405
"Drought avoidance","Because It Grows Fast And Drought Resistant Since There Are Low Rains This Season","Uganda","Female","Preferred",1406
"Intercropping (with beans)","Better Yields Are Bee Of Spacing","Uganda","Female","Preferred",1407
"Family nutrition","Because It Improves The Health Of The Family","Uganda","Female","Preferred",1408
"Family nutrition","Because It Has Vitamin A Which Is Good To Children.","Uganda","Female","Preferred",1409
"Drought avoidance","Its Drought Resistant And Has A Shorter Period To Harvest","Uganda","Male","Preferred",1410
"Intercropping (with beans)","Yields For More Than One Crops Gained","Uganda","Male","Preferred",1411
"Drought avoidance","It Yields In Three Months And It Can Easily Gain Market","Uganda","Female","Preferred",1412
"Family nutrition","It Can Be Markateble In Schools","Uganda","Male","Preferred",1413
"Drought avoidance","It Can Help In Seasons Of Unpredictable Rains","Uganda","Male","Preferred",1414
"Family nutrition","It Has Market In Schools","Uganda","Male","Preferred",1415
"Drought avoidance","The Harvest Is In 3 Months And Half","Uganda","Female","Preferred",1416
"Green maize","Because It Is For Home Consumption.","Uganda","Female","Preferred",1417
"Drought avoidance","Because It Grows Very Fast And Resistant To Drought And Diseases.","Uganda","Male","Preferred",1418
"Home use","Because It Takes Long In Storage Without Getting Bad.","Uganda","Female","Preferred",1419
"Green maize","Because It Has A Long Cob.","Uganda","Male","Preferred",1420
"Drought avoidance","It Is Drought And It Yields Faster","Uganda","Male","Preferred",1421
"Intercropping (with beans)","It Yields Two Maize Cones Per Plant","Uganda","Female","Preferred",1422
"Resilience","It Is Resistant To Drought Pests And Infertile Land","Uganda","Male","Preferred",1423
"Intercropping (with beans)","If You Intercrop It With Beans It Yields More","Uganda","Female","Preferred",1424
"Home use","Because One Can Easily Sell And Eat The Sweet Food Market Is Available Every Where","Uganda","Female","Preferred",1425
"Resilience","Because Yields In 4 Months","Uganda","Male","Preferred",1426
"Family nutrition","Because The Respondent Has A Young Family To Kerp Healthy","Uganda","Female","Preferred",1427
"Drought avoidance","It Is Disease And Drought Resistant","Uganda","Male","Preferred",1428
"Drought avoidance","Early Harvest And Disease Free And Drought Resistant","Uganda","Male","Preferred",1429
"Green maize","You Can Sell It Raw","Uganda","Male","Preferred",1430
"Family nutrition","It Has Vitamin A For Children","Uganda","Male","Preferred",1431
"Home use","Kept For 6 Months With Out Weavils","Uganda","Female","Preferred",1432
"Family nutrition","Because It Has Vitamin A Which Is Good On Children.","Uganda","Female","Preferred",1433
"Intercropping (with beans)","Because It Saves Space And Also Crops Come Out Well Even Though Intercropped.","Uganda","Female","Preferred",1434
"Food and fodder","Because It Is For Both Home Consumption And Animals.","Uganda","Male","Preferred",1435
"Drought avoidance","Because It Is Both Drought And Disease Resistant.","Uganda","Male","Preferred",1436
"Home use","To Feed My Family And Sell","Uganda","Female","Preferred",1437
"Intercropping (with beans)","It Yields Well Even When You Mix With Other Varieties Therefore A Better Harvest Of More Crops On The Same Garden","Uganda","Female","Preferred",1438
"Resilience","Its Resilient To Pests And Drought","Uganda","Male","Preferred",1439
"Drought avoidance","It Stands Against Drought","Uganda","Female","Preferred",1440
"Drought avoidance","It Yields Faster","Uganda","Female","Preferred",1441
"Resilience","It Is Resistant To Poor Land And Drought","Uganda","Female","Preferred",1442
"Resilience","It Is Resistant To All Conditions","Uganda","Female","Preferred",1443
"Home use","It Is Drought Resistant And It Can Be Stored For Long Without Getting Spoilt","Uganda","Male","Preferred",1444
"Food and fodder","Because It Can Be Sold And Eaten By Both Animals And Human Beings.","Uganda","Male","Preferred",1445
"Green maize","It Is Resistant To Drought.","Uganda","Male","Preferred",1446
"Drought avoidance","Because It Is Resistant To Diseases And Takes A Shorter Period To Be Harvested.","Uganda","Female","Preferred",1447
"Family nutrition","Because It Has Vitamin A Which Is Good On Children.","Uganda","Female","Preferred",1448
"Drought avoidance","It Has A Shorter Harvest Period","Uganda","Male","Preferred",1449
"Resilience","It Stands All Around Against Droughtpestsdiseases And Poor Soils","Uganda","Female","Preferred",1450
"Intercropping (with beans)","It Can Be Helpful When You Have Small Piece Of Land","Uganda","Female","Preferred",1451
"Drought avoidance","It Matures Fast And It Has Market","Uganda","Female","Preferred",1452
"Intercropping (with beans)","Because Of Intercropping With Other Crops And All Comes Out Well.","Uganda","Male","Preferred",1453
"Drought avoidance","It Has Shorter Maturing Period","Uganda","Male","Preferred",1454
"Resilience","Because The Seasons Are Unpredictable","Uganda","Female","Preferred",1455
"Resilience","It Is Resistant To All Conditions","Uganda","Male","Preferred",1456
"Green maize","It Profits Farmers Early Because Its Sold Raw","Uganda","Male","Preferred",1457
"Drought avoidance","Because It Is Drought And Disease Resistant","Uganda","Male","Preferred",1458
"Resilience","Because Its Withstands Harsh Conditions Ie Bad Weather Diseases","Uganda","Male","Preferred",1459
"Resilience","It Withstands All Bad Conditions Ie Less Fertile Soils Drought And Diseases","Uganda","Female","Preferred",1460
"Food and fodder","Because It Can Be For Both Home And Animal Consumption.","Uganda","Male","Preferred",1461
"Drought avoidance","Because It Is Resistant To Diseases And Drought.","Uganda","Male","Preferred",1462
"Resilience","Because It Is Resistant To Drought And Diseases.","Uganda","Male","Preferred",1463
"Home use","Because It Is For Both Home And Animal Consumption.","Uganda","Male","Preferred",1464
"Resilience","Because The Respondents Land Is Less Fertile Has Lunyo Prone To Maize Diseases And Drought","Uganda","Female","Preferred",1465
"Intercropping (with beans)","Helps Especially Those With Small Pieces Of Land Grow More Crops","Uganda","Female","Preferred",1466
"Drought avoidance","Because It Matures Fast Hence Profits To The Farmer Are Realised Early","Uganda","Male","Preferred",1467
"Resilience","Because Of The Frequent Seasonal Changes","Uganda","Male","Preferred",1468
"Family nutrition","It Produces Nutritious Food","Uganda","Female","Preferred",1469
"Livestock feed","It Is For Animals And I Have Pigs And Hens At My Farm","Uganda","Female","Preferred",1470
"Intercropping (with beans)","It Can Be Intercropped With Beans","Uganda","Male","Preferred",1471
"Home use","It Can Be Stored For Six Months Whwn It Has Not Got Spoilt","Uganda","Female","Preferred",1472
"Home use","It Has Market Since Its For Food And Home Consuption","Uganda","Female","Preferred",1473
"Green maize","It Can Be Easily Sold And Food At Home","Uganda","Female","Preferred",1474
"Resilience","You Can Be Sure Of A Good Harvest Because Of Its Resistance To Many Obstacles Like Pestspoor Soils And Diseases","Uganda","Male","Preferred",1475
"Intercropping (with beans)","I Use This Variety Of Intercroping Though This One Has A Slight Difference","Uganda","Male","Preferred",1476
"Food and fodder","Because It Can Serve Both Humans And Animals","Uganda","Male","Preferred",1477
"Drought avoidance","Because It Is Resistant To Drought And Diseases.","Uganda","Female","Preferred",1478
"Drought avoidance","It Is Drought Resistant","Uganda","Female","Preferred",1479
"Resilience","It Can Stand Dry Seasons And Not Enough Rains","Uganda","Female","Preferred",1480
"Food and fodder","Because It Is Gor Both Home Consumption And Animals.","Uganda","Male","Preferred",1481
"Intercropping (with beans)","Because It Can Be Intercropped With Other Crops.","Uganda","Female","Preferred",1482
"Family nutrition","Because It Has Vitamin A.","Uganda","Female","Preferred",1483
"Home use","Because It For Both Selling And Home Consumption.","Uganda","Male","Preferred",1484
"Livestock feed","Because The Respondent Rears Animals.","Uganda","Female","Preferred",1485
"Home use","Because It Is For Home Use And Marketable Easily","Uganda","Male","Preferred",1486
"Green maize","Because It Suits The Market","Uganda","Male","Preferred",1487
"Intercropping (with beans)","Its The One The Respondent Usually Grows Yields Well And Its What He Shall Grow This Season","Uganda","Male","Preferred",1488
"Drought avoidance","Its For Food And Can Be Sold","Uganda","Male","Preferred",1489
"Home use","For Food At Home And Selling","Uganda","Female","Preferred",1490
"Home use","For Food And Selling","Uganda","Male","Preferred",1491
"Drought avoidance","Because Its Harvest Is In Three And A Half Months","Uganda","Female","Preferred",1492
"Green maize","When It Yields It Has No Gaps On The Cones","Uganda","Female","Preferred",1493
"Resilience","It Is Resistant To Exhausted Land And Pests","Uganda","Male","Preferred",1494
"Green maize","It Yields Two Maize Cones Per Plant","Uganda","Male","Preferred",1495
"Resilience","It Is Resistant To Infertile Land","Uganda","Female","Preferred",1496
"Intercropping (with beans)","It Can Be Intercropped With And Better Utilize A Small Piece Of Land","Uganda","Male","Preferred",1497
"Resilience","Because This Area Is Prone To Alot Of Drought","Uganda","Female","Preferred",1498
"Food and fodder","Because It Is For Home Consumption And Also Cattle.","Uganda","Female","Preferred",1499
"Home use","It Can Feed Usthe Same Time Sell It And Its White","Uganda","Female","Preferred",1500
"Resilience","It Is Drought Resistant.","Uganda","Male","Preferred",1501
"Home use","It Lasts For 6 Months.","Uganda","Female","Preferred",1502
"Drought avoidance","It Is Drought Resistant.","Uganda","Female","Preferred",1503
"Drought avoidance","It Matures In 3 And A Half Months","Uganda","Male","Preferred",1504
"Intercropping (with beans)","Because You Get Double Profits","Uganda","Male","Preferred",1505
"Family nutrition","Its Rich In Vitamin A Which Is Good The Health Of Her Family","Uganda","Female","Preferred",1506
"Intercropping (with beans)","It`S Good Especially If One Wants For Selling","Uganda","Male","Preferred",1507
"Drought avoidance","Because Its Grown For 3.5Months","Uganda","Male","Preferred",1508
"Green maize","Sweet While Fresh And Has A Compact Cob","Uganda","Male","Preferred",1509
"Drought avoidance","Only 3.5 Months Required","Uganda","Female","Preferred",1510
"Home use","Can Be Stored For Long Periods","Uganda","Male","Preferred",1511
"Intercropping (with beans)","It Gives Chance For Beans Also","Uganda","Female","Preferred",1512
"Family nutrition","It Gives High Yiels And It Has Good Vitamins That Are Good For Childrens Growth","Uganda","Male","Preferred",1513
"Intercropping (with beans)","I Get Yields From Two Crops At He Same Time.","Uganda","Female","Preferred",1514
"Home use","It Takes Short Time To Be Harvested","Uganda","Female","Preferred",1515
"Food and fodder","It Gives Food For Both People And Animals And Its Drought Resistant","Uganda","Male","Preferred",1516
"Resilience","Its Resistance To Drought And Diseases And Being Able To Grow It On An Infertile Land","Uganda","Female","Preferred",1517
"Food and fodder","It Can Help In Feeding My Animals","Uganda","Female","Preferred",1518
"Home use","It Lasts For 6 Months","Uganda","Male","Preferred",1519
"Home use","It Lasts Longer Without Rotting Thus Can Sell At A Time When Market Is Good","Uganda","Female","Preferred",1520
"Resilience","It Is Resistant To Drought And Bad Land","Uganda","Male","Preferred",1521
"Green maize","It Yields Bigger Maize Cones","Uganda","Male","Preferred",1522
"Home use","It Can Be Stored For Six Months When It Is Not Spoilt","Uganda","Male","Preferred",1523
"Resilience","It Yields In Four Months","Uganda","Female","Preferred",1524
"Green maize","It Can Help To Make Quick Money","Uganda","Male","Preferred",1525
"Resilience","It Stands Out Against All Hard Circmstances","Uganda","Male","Preferred",1526
"Drought avoidance","It Stands Against Drought And A Faster Maturing Period","Uganda","Male","Preferred",1527
"Intercropping (with beans)","It Helps To Grow Both Beans And Maize And The Harvest Is The Same","Uganda","Female","Preferred",1528
"Family nutrition","It Is Nutrious Especially To Children.","Uganda","Male","Preferred",1529
"Family nutrition","Because It Has Vitamin A Which Is Good On Children.","Uganda","Male","Preferred",1530
"Resilience","Because It Is Resistant To Diseases And Drought.","Uganda","Female","Preferred",1531
"Intercropping (with beans)","Because She Yields More Than One Crop On The Same Piece Of Land.","Uganda","Female","Preferred",1532
"Resilience","Drought Resistant  Yields Well In Less Fertile Soils","Uganda","Female","Preferred",1533
"Green maize","Because It Is Drought And Disease Resistant  Big Cob Full Grain Filling","Uganda","Female","Preferred",1534
"Resilience","The Place The Respondent Grows His Maize Is Prone To Drought","Uganda","Male","Preferred",1535
"Family nutrition","Because Its Good For The Health Of The Respondents Family","Uganda","Female","Preferred",1536
"Intercropping (with beans)","You Can Be Able To Grow More Crops At The Same Time","Uganda","Female","Preferred",1537
"Home use","Its Kept For 6 Months With Out Weavils","Uganda","Female","Preferred",1538
"Drought avoidance","Its Drought Resistant And Disease Free And Infertile Soil","Uganda","Male","Preferred",1539
"Home use","Its Drought Resistant And Disease Free And Can Be Kept For 6 Months","Uganda","Female","Preferred",1540
"Food and fodder","Because You Can Sell The Maize And The Forage Can Be Used For Animal Feeds","Uganda","Male","Preferred",1541
"Family nutrition","It Has Alot Onpf Nutrients And Vitamin A For Eye Sight Improvement","Uganda","Male","Preferred",1542
"Drought avoidance","Because It Takes Ashorter Period To Grow And It Works Best In This Short Season","Uganda","Female","Preferred",1543
"Food and fodder","Because As A Human Feeds Even Animals Feed The Forage","Uganda","Female","Preferred",1544
"Resilience","It Is Disease And Drought Resistance And It Grows In Low Fertile Soils","Uganda","Female","Preferred",1545
"Green maize","Produces Big Seed Per Corb And It`S Sweet.","Uganda","Male","Preferred",1546
"Green maize","Can Be Harvested In Less Than Four Months.","Uganda","Male","Preferred",1547
"Resilience","Being Drought And Disease Resistant.","Uganda","Male","Preferred",1548
"Drought avoidance","It`S Drought Resistant.","Uganda","Female","Preferred",1549
"Family nutrition","Because It Has Vitamin A.","Uganda","Female","Preferred",1550
"Green maize","It Is Sweet And Good Food For Home Consumption.","Uganda","Male","Preferred",1551
"Family nutrition","Has Vitamin A.","Uganda","Female","Preferred",1552
"Livestock feed","The Reason That It Is Yellow In Colour And Has High Nutrients For Animal Feeds Mostly Chicken","Uganda","Female","Preferred",1553
"Intercropping (with beans)","You Get Much Yields On A Small Scale Since It May Put Two Cons On One Plant","Uganda","Male","Preferred",1554
"Home use","Sweet Posho And Can Be Stored For Long Time","Uganda","Female","Preferred",1555
"Family nutrition","Rich In Vitamin A","Uganda","Male","Preferred",1556
"Resilience","It With Stands All Weather Conditions","Uganda","Male","Preferred",1557
"Home use","Its Drought Resistant And Can Be Stored For Over Six Months  Its Posho Is Sweet","Uganda","Female","Preferred",1558
"Intercropping (with beans)","Because It Can Be Inter Cropped And Still Yields A Lot Of Maize","Uganda","Female","Preferred",1559
"Drought avoidance","Because It Takes Shorter Period To Harvest And It`S Drought Resistant","Uganda","Male","Preferred",1560
"Green maize","The Seeds Are Not Packed Well On The Cob","Uganda","Male","Preferred",1561
"Intercropping (with beans)","It Takes Bigger Space When Planting It","Uganda","Female","Preferred",1562
"Green maize","Because Its Seeds Are Packed Well On The Cob","Uganda","Male","Preferred",1563
"Drought avoidance","It Takes Shorter Period To Harvest","Uganda","Male","Preferred",1564
"Drought avoidance","Because It Takes Shorter Period To Harvest","Uganda","Male","Preferred",1565
"Green maize","Because The Maize Is Big And Tall In Size","Uganda","Female","Preferred",1566
"Home use","It Can Be Stored For Six Months Without Rotting","Uganda","Male","Preferred",1567
"Green maize","It Matures In Four Months And Its Disease Resistant","Uganda","Female","Preferred",1568
"Family nutrition","It Has Vitamin A And Gives High Yields","Uganda","Female","Preferred",1569
"Intercropping (with beans)","It Gives High Yields Because Each Plant Has Two Cobs And It Allows Inter Cropping","Uganda","Female","Preferred",1570
"Home use","It Can Be Stored For Long So I Can Feed My Family But Also Sell And Get Money","Uganda","Male","Preferred",1571
"Green maize","The Maize Cob Is Fully Packed And Has No Gaps","Uganda","Female","Preferred",1572
"Home use","It Matures Fast In Four Months","Uganda","Male","Preferred",1573
"Resilience","Drought Resistant","Uganda","Male","Preferred",1574
"Drought avoidance","Grow Fast","Uganda","Female","Preferred",1575
"Drought avoidance","Drought Resistant","Uganda","Male","Preferred",1576
"Resilience","Even With Less Rainfall Can Do Well","Uganda","Female","Preferred",1577
"Intercropping (with beans)","Offers Variety Of Food","Uganda","Male","Preferred",1578
"Family nutrition","Rich In Vitamin A","Uganda","Female","Preferred",1579
"Drought avoidance","Drought Resistant","Uganda","Female","Preferred",1580
"Resilience","It Also Grows In Less Fertile Soilit Is Drought Resistance.","Uganda","Female","Preferred",1581
"Green maize","It Is Drought Resistance And Disease Resistance","Uganda","Female","Preferred",1582
"Drought avoidance","Because It Takes A Shorter Period Of Time And In This Shorter Season Of Rain You Are At An Advantage","Uganda","Male","Preferred",1583
"Family nutrition","Because It Has Alot Of Vitamin A Which Improves Sight","Uganda","Male","Preferred",1584
"Home use","It Can Be Kept In The Stores For Along Time Without Getting Affected By Diseases/Attacked By Weevils","Uganda","Male","Preferred",1585
"Drought avoidance","Because Its Drought Resistant","Uganda","Male","Preferred",1586
"Resilience","Its Both Disease And Drought Resistant","Uganda","Female","Preferred",1587
"Food and fodder","Because I Can Eat The Maize And Give The Leaves To Animals","Uganda","Female","Preferred",1588
"Resilience","Drought Resistant","Uganda","Female","Preferred",1589
"Drought avoidance","Grows Fast Drought Resistant","Uganda","Female","Preferred",1590
"Drought avoidance","Grows Fast","Uganda","Male","Preferred",1591
"Green maize","Bigger Corn","Uganda","Male","Preferred",1592
"Food and fodder","Its Drought Resistant","Uganda","Female","Preferred",1593
"Home use","Its Drought Resistant And Can Be Stored For Lo G Without Being Eaten By Pests And Diseases","Uganda","Male","Preferred",1594
"Drought avoidance","It Matures In Three And Half Mo Ths So I Can Get Quik Money","Uganda","Male","Preferred",1595
"Intercropping (with beans)","This Variety Kills Two Birds With One Stone You Harvest Maize And Beans Equally","Uganda","Female","Preferred",1596
"Drought avoidance","Because Its Drought And Disease Resistant.","Uganda","Female","Preferred",1597
"Food and fodder","Provides Feeds For Both Humans And Animals. Similar To","Uganda","Male","Preferred",1598
"Drought avoidance","Grows And Can Be Harvested In Only 3 And A Half Months.","Uganda","Female","Preferred",1599
"Drought avoidance","Being Drought And Disease Resistant.","Uganda","Male","Preferred",1600
"Green maize","Can Be Harvested In Less Than Four Months.","Uganda","Male","Preferred",1601
"Drought avoidance","Grows Faster And Can Be Harvested In Less Than Four Months.","Uganda","Female","Preferred",1602
"Intercropping (with beans)","Being Drought And Disease Resistant.","Uganda","Male","Preferred",1603
"Drought avoidance","Grows Faster And Requires Less Fertiliser","Uganda","Male","Preferred",1604
"Resilience","Drought Resistant","Uganda","Male","Preferred",1605
"Food and fodder","White In Colour And Good For Animals And People","Uganda","Female","Preferred",1606
"Drought avoidance","3 Months To Maturity","Uganda","Female","Preferred",1607
"Resilience","Pest Free","Uganda","Female","Preferred",1608
"Intercropping (with beans)","Get Both Beans And Maize","Uganda","Female","Preferred",1609
"Green maize","It Is Drought Resistant And Also Resistant To Diseases","Uganda","Female","Preferred",1610
"Drought avoidance","It Takes Shorter Period To Harvest","Uganda","Female","Preferred",1611
"Food and fodder","Because Its Leaves Can Be Used As Feed For Animals","Uganda","Male","Preferred",1612
"Resilience","It Matures In Four Months And Can With Stand All Weather Conditions","Uganda","Male","Preferred",1613
"Family nutrition","It Has Vitamin A Which Is Good For Children","Uganda","Male","Preferred",1614
"Resilience","Its Drought Resistant And The Yields Are High","Uganda","Female","Preferred",1615
"Drought avoidance","Because It Takes A Shorter Period For You To Hervest","Uganda","Female","Preferred",1616
"Home use","It Can Be Kept For Long Time Due To The Strong Cover Seeds","Uganda","Male","Preferred",1617
"Intercropping (with beans)","The Fact That You Hervest Two Crops On One Piece Of Land.","Uganda","Male","Preferred",1618
"Home use","It Is Drought Resistance And It Has Stronge Seed Cover Which Can Help You Store It For At Most 6 Months","Uganda","Female","Preferred",1619
"Resilience","Even In Dry Spell It Does Well","Uganda","Male","Preferred",1620
"Home use","The Fact That Iit Has Astrong Seed Cover That It Takes Long To Get Spoilt","Uganda","Male","Preferred",1621
"Resilience","This Is Because This Veriety Is Both Drought And Disease Resistance And It Grows In Less Fertile Soils","Uganda","Male","Preferred",1622
"Drought avoidance","It Is Because It Is Drought Resistance And Takes Shorter Period To Mature","Uganda","Male","Preferred",1623
"Food and fodder","The Fact That You Get Two Types Of Food For Both Human And Forage For Animal Feeds","Uganda","Female","Preferred",1624
"Drought avoidance","It Is Drought Resistance And It Takes Three Months And A Half To Mature","Uganda","Female","Preferred",1625
"Family nutrition","It Contains High Levels Of Vitamin A","Uganda","Female","Preferred",1626
"Resilience","Because Its Drought Resistant And Also Resistant To Diseases","Uganda","Male","Preferred",1627
"Drought avoidance","Because Its Drought Resistant","Uganda","Male","Preferred",1628
"Family nutrition","It Contains High Levels Of Vitamin A","Uganda","Female","Preferred",1629
"Intercropping (with beans)","Because It Can Be Planted Together With Other Plants Since I Grow On A Small Piece Of Land","Uganda","Female","Preferred",1630
"Home use","Can Be Stored For Long Time","Uganda","Male","Preferred",1631
"Intercropping (with beans)","Has Two Maize Corns","Uganda","Male","Preferred",1632
"Drought avoidance","Being Drought Resistant.","Uganda","Female","Preferred",1633
"Family nutrition","Has Vitamin A Good For Children`S Growth And Their Eyes.","Uganda","Male","Preferred",1634
"Drought avoidance","Being Drought Resistant","Uganda","Female","Preferred",1635
"Green maize","It Gives High Output Because It Puts No Maize Gaps On The Corb.","Uganda","Male","Preferred",1636
"Home use","It`S Disease And Drought Resistant","Uganda","Female","Preferred",1637
"Drought avoidance","It Can Be Harvested In Less Than Four Months.","Uganda","Male","Preferred",1638
"Drought avoidance","Grows Fast","Uganda","Female","Preferred",1639
"Intercropping (with beans)","Two Maize Cobs","Uganda","Female","Preferred",1640
"Intercropping (with beans)","Gives Two Varieties Of Crops","Uganda","Female","Preferred",1641
"Food and fodder","It Can Be Used For Home Consumption As Well As Animals.","Uganda","Female","Preferred",1642
"Family nutrition","It Has Vitamin A","Uganda","Male","Preferred",1643
"Drought avoidance","It Is Drought Resistant.","Uganda","Female","Preferred",1644
"Resilience","It Is Drought Resistant.","Uganda","Male","Preferred",1645
"Green maize","It Has A Very Straight Cob And Big","Uganda","Male","Preferred",1646
"Resilience","Resistant To Hash Conditions","Uganda","Female","Preferred",1647
"Drought avoidance","Resistant To Conditions","Uganda","Female","Preferred",1648
"Home use","Can Be Kept For 6 Months","Uganda","Male","Preferred",1649
"Intercropping (with beans)","This Maize Variety Yields Two Maize Cobs Per Maize Plant","Uganda","Male","Preferred",1650
"Family nutrition","This Maize Variety Is Drought Resistant And It`S Nutritious","Uganda","Male","Preferred",1651
"Resilience","This Maize Variety Is Drought Resistant And Can Do Well Also On Poor Soils","Uganda","Female","Preferred",1652
"Family nutrition","This Maize Variety Is Drought And Disease Resistant","Uganda","Female","Preferred",1653
"Intercropping (with beans)","It Puts On Two Cobs Of Maize","Uganda","Female","Preferred",1654
"Home use","It`S Good Quality Kernel Which Keeps It Safe For 6Months Without Getting Spoiled","Uganda","Male","Preferred",1655
