"concept","preference","country","gender","word"
"Drought avoidance","Preferred","Kenya","Female","disease resistant"
"Family nutrition","Preferred","Kenya","Male","essential"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop favours small portion farming land"
"Drought avoidance","Preferred","Kenya","Female","yield drought"
"Family nutrition","Preferred","Kenya","Male","presence nutritious"
"Food and fodder","Preferred","Kenya","Male","food fodder"
"Family nutrition","Preferred","Kenya","Female","presence nutritious"
"Home use","Preferred","Kenya","Female","high quality floor"
"Green maize","Preferred","Kenya","Female","green uses"
"Livestock feed","Preferred","Kenya","Female","reduces expenses livestock fodder"
"Intercropping (with beans)","Preferred","Kenya","Female","requires low fertilizer take shorter periods maturity"
"Intercropping (with beans)","Preferred","Kenya","Female","low uses fertilizer"
"Green maize","Preferred","Kenya","Female","take shorter periods maturity"
"Drought avoidance","Preferred","Kenya","Male","maturity early"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop"
"Home use","Preferred","Kenya","Female","long shelf life"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop less uses fertilizer"
"Family nutrition","Preferred","Kenya","Female","nutritious vital children growth"
"Home use","Preferred","Kenya","Female","tastes sweet cooked"
"Home use","Preferred","Kenya","Female","storage long periods attacked pests rotting"
"Family nutrition","Preferred","Kenya","Male","nutritious nutritious children"
"Drought avoidance","Preferred","Kenya","Female","little rainfall"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop increases level food security"
"Home use","Preferred","Kenya","Male","tasty compares"
"Drought avoidance","Preferred","Kenya","Male","high resistant rate drought disease"
"Resilience","Preferred","Kenya","Female","low fertilizer requirement high resistant drought disease"
"Family nutrition","Preferred","Kenya","Male","essential nature children"
"Resilience","Preferred","Kenya","Female","produces high yield low fertility soil"
"Intercropping (with beans)","Preferred","Kenya","Male","allows intercrop increase food security less production cost"
"Resilience","Preferred","Kenya","Male","uses less fertilizer low production costs"
"Family nutrition","Preferred","Kenya","Female","presence nutritious highly productive"
"Family nutrition","Preferred","Kenya","Female","high content nutritious"
"Resilience","Preferred","Kenya","Male","low fertility land"
"Intercropping (with beans)","Preferred","Kenya","Female","uses less fertilizer good intercrop"
"Green maize","Preferred","Kenya","Female","good income"
"Resilience","Preferred","Kenya","Male","less uses fertilizer"
"Home use","Preferred","Kenya","Female","need chemical storage"
"Home use","Preferred","Kenya","Male","good household uses good storage"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop enriches soil Nitrogen"
"Drought avoidance","Preferred","Kenya","Male","maturity fast tolerant drought"
"Resilience","Preferred","Kenya","Male","less fertilizer requirement tolerant disease drought"
"Home use","Preferred","Kenya","Male","storage long periods harvest attacked pests rotting"
"Home use","Preferred","Kenya","Female","storage long periods harvest attacked pests rotting"
"Resilience","Preferred","Kenya","Female","requires less uses fertilizer resistant drought disease"
"Drought avoidance","Preferred","Kenya","Male","shorter maturity periods resistant disease"
"Family nutrition","Preferred","Kenya","Female","nutritious high production"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop produces doubles maize cobs"
"Resilience","Preferred","Kenya","Female","resistant disease fertilizer requirement low"
"Food and fodder","Preferred","Kenya","Female","human livestock consumption"
"Intercropping (with beans)","Preferred","Kenya","Male","Nitrogen fixation"
"Drought avoidance","Preferred","Kenya","Male","maturity shorter periods evade drought"
"Drought avoidance","Preferred","Kenya","Female","maturity shorter periods time evade drought"
"Resilience","Preferred","Kenya","Male","grown varying weather conditions"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop"
"Food and fodder","Preferred","Kenya","Male","good livestock production"
"Resilience","Preferred","Kenya","Male","disease resistant thats important characteristic good"
"Drought avoidance","Preferred","Kenya","Female","shorter maturity periods planned"
"Intercropping (with beans)","Preferred","Kenya","Female","good harvest maize simultaneously"
"Home use","Preferred","Kenya","Male","multipurpose"
"Food and fodder","Preferred","Kenya","Female","multipurpose"
"Family nutrition","Preferred","Kenya","Male","highly nutritious"
"Home use","Preferred","Kenya","Male","food security practice subsistence farming"
"Resilience","Preferred","Kenya","Male","resistant disease drought"
"Food and fodder","Preferred","Kenya","Male","livestock fodder human consumption"
"Drought avoidance","Preferred","Kenya","Male","resistant drought"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop"
"Resilience","Preferred","Kenya","Female","resistant disease drought"
"Drought avoidance","Preferred","Kenya","Female","drought resistant help drought periods"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop allows income diversification less fertilizer requirement"
"Family nutrition","Preferred","Kenya","Female","presence nutritious beta carotene health benefits"
"Resilience","Preferred","Kenya","Female","highly resistant drought disease"
"Intercropping (with beans)","Preferred","Kenya","Female","crop diversification ensures food security less fertilizer requirement"
"Home use","Preferred","Kenya","Female","storage long periods weavil attack"
"Drought avoidance","Preferred","Kenya","Male","low rainfall resistant disease shorter maturity periods"
"Intercropping (with beans)","Preferred","Kenya","Male","good rainfall filling double cobs"
"Family nutrition","Preferred","Kenya","Male","nutritious factor good school going children"
"Home use","Preferred","Kenya","Female","taste good storage periods major losses"
"Resilience","Preferred","Kenya","Female","less fertilizer usage resistant drought disease"
"Livestock feed","Preferred","Kenya","Male","gives nutritious livestock fodder sold livestock farmers"
"Resilience","Preferred","Kenya","Male","resilience drought conditions"
"Drought avoidance","Preferred","Kenya","Female","endure low rainfall give yield"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop"
"Intercropping (with beans)","Preferred","Kenya","Female","produces cobs plant intercrop"
"Resilience","Preferred","Kenya","Female","disease resistant"
"Home use","Preferred","Kenya","Female","allows months storage using special storage bags risks losing rainfall"
"Drought avoidance","Preferred","Kenya","Female","early maturity periods"
"Resilience","Preferred","Kenya","Male","drought tolerant"
"Family nutrition","Preferred","Kenya","Male","nutritious good children growth"
"Intercropping (with beans)","Preferred","Kenya","Male","harvest maize Nitrogen fixation soil"
"Green maize","Preferred","Kenya","Female","high returns"
"Family nutrition","Preferred","Kenya","Male","nutritional contentnutritious"
"Drought avoidance","Preferred","Kenya","Female","low risk crop loss"
"Food and fodder","Preferred","Kenya","Female","household useugali"
"Drought avoidance","Preferred","Kenya","Male","assured yield rainfall little"
"Food and fodder","Preferred","Kenya","Male","fodder livestock"
"Drought avoidance","Preferred","Kenya","Male","shorter maturity periods"
"Food and fodder","Preferred","Kenya","Male","provide fodder livestock human"
"Resilience","Preferred","Kenya","Female","high yield little fertilizer ability withstand disease"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop helps increase soil fertility"
"Food and fodder","Preferred","Kenya","Female","fodder livestock grass"
"Drought avoidance","Preferred","Kenya","Male","resistant drought crop disease"
"Family nutrition","Preferred","Kenya","Male","good children"
"Home use","Preferred","Kenya","Female","good household consumption"
"Intercropping (with beans)","Preferred","Kenya","Female","similar plant intercrop"
"Livestock feed","Preferred","Kenya","Female","fodder poultry"
"Resilience","Preferred","Kenya","Male","resilient disease less fertility soil"
"Intercropping (with beans)","Preferred","Kenya","Male","high yield requires fertilizer"
"Resilience","Preferred","Kenya","Female","resilient excessive rainfall"
"Green maize","Preferred","Kenya","Male","uses low amounts fertilizer time harvest normally grown"
"Resilience","Preferred","Kenya","Male","takes months harvest drought shorter rainfall"
"Family nutrition","Preferred","Kenya","Female","nutritious"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop intercrop"
"Intercropping (with beans)","Preferred","Kenya","Male","takes shorter time harvest intercrop yield highly"
"Family nutrition","Preferred","Kenya","Female","nutritious children"
"Intercropping (with beans)","Preferred","Kenya","Female","beans cobs stalk"
"Food and fodder","Preferred","Kenya","Male","good human livestock consumption"
"Food and fodder","Preferred","Kenya","Female","fodder livestock human consume rainfall"
"Home use","Preferred","Kenya","Female","high harvest preseved along time preservation chemicals"
"Livestock feed","Preferred","Kenya","Female","nutritious livestock believe human"
"Home use","Preferred","Kenya","Female","long storage life compared others"
"Resilience","Preferred","Kenya","Female","low rainfall areas low fertility soil"
"Green maize","Preferred","Kenya","Female","long maize cobs green maize cereal"
"Home use","Preferred","Kenya","Male","high yield high storage life rainfall flour sweet"
"Drought avoidance","Preferred","Kenya","Male","highly resistant drought"
"Green maize","Preferred","Kenya","Female","favours small fams"
"Food and fodder","Preferred","Kenya","Male","multipurpose nature"
"Family nutrition","Preferred","Kenya","Male","nutritious value high compared"
"Resilience","Preferred","Kenya","Male","ensures food security predidictable weather survive weather condition"
"Drought avoidance","Preferred","Kenya","Female","takes months lesser time maturity"
"Intercropping (with beans)","Preferred","Kenya","Female","allows intercrop food security fixes Nitrogen soil"
"Intercropping (with beans)","Preferred","Kenya","Male","food security Nitrogen fixation capability"
"Family nutrition","Preferred","Kenya","Male","high content nutrient people especially children"
"Resilience","Preferred","Kenya","Female","resilient disease"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop uses less fertilizer"
"Food and fodder","Preferred","Kenya","Female","food household livestock"
"Resilience","Preferred","Kenya","Male","fertilizer requirement low saving production costs"
"Intercropping (with beans)","Preferred","Kenya","Female","produces double cobs intercrop"
"Home use","Preferred","Kenya","Female","long shelf life sweet tasting"
"Resilience","Preferred","Kenya","Male","less fertilizer requirement resilient drought disease"
"Food and fodder","Preferred","Kenya","Male","food fodder"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop enriches soil Nitrogen"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop enriches soil Nitrogen"
"Drought avoidance","Preferred","Kenya","Female","maturity fast high tolerance drought"
"Food and fodder","Preferred","Kenya","Male","food fodder livestock"
"Drought avoidance","Preferred","Kenya","Male","currently receiving low rainfall region"
"Resilience","Preferred","Kenya","Female","uses less fertilizer resistant pest"
"Family nutrition","Preferred","Kenya","Female","good children nutritious"
"Drought avoidance","Preferred","Kenya","Female","maturity fast sure yield"
"Food and fodder","Preferred","Kenya","Female","focuses ome uses food livestock fodder"
"Livestock feed","Preferred","Kenya","Male","provide fodder poultry livestock business"
"Green maize","Preferred","Kenya","Female","taste good"
"Food and fodder","Preferred","Kenya","Female","provides household uses food fodder"
"Family nutrition","Preferred","Kenya","Male","nutritious factor good small children"
"Home use","Preferred","Kenya","Male","gives enough food consumption"
"Family nutrition","Preferred","Kenya","Female","nutritious improves health children"
"Drought avoidance","Preferred","Kenya","Female","takes shorter time maturity"
"Resilience","Preferred","Kenya","Male","resilience drought disease"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop"
"Drought avoidance","Preferred","Kenya","Female","minimal risk crop loss"
"Food and fodder","Preferred","Kenya","Male","livestock farmer"
"Resilience","Preferred","Kenya","Female","resistant pests"
"Food and fodder","Preferred","Kenya","Male","food fodder livestock"
"Intercropping (with beans)","Preferred","Kenya","Female","planting maize"
"Resilience","Preferred","Kenya","Male","resistant disease pests guaranteed yield"
"Food and fodder","Preferred","Kenya","Male","food livestock household"
"Intercropping (with beans)","Preferred","Kenya","Male","produces cobs gives higher yield"
"Drought avoidance","Preferred","Kenya","Female","shorter maturity periods"
"Food and fodder","Preferred","Kenya","Male","nutritious livestock human"
"Family nutrition","Preferred","Kenya","Female","better carotene nutritious"
"Drought avoidance","Preferred","Kenya","Female","high yield maturity less days"
"Intercropping (with beans)","Preferred","Kenya","Female","produces double cobs intercrop meaning double harvest plot low fertilizer need"
"Drought avoidance","Preferred","Kenya","Female","drought tolerant got early maturity periods"
"Home use","Preferred","Kenya","Female","allows household storage months uses special storage bags"
"Green maize","Preferred","Kenya","Female","sweet taste still preparing drought"
"Food and fodder","Preferred","Kenya","Male","food human fodder livestock objective achieves"
"Home use","Preferred","Kenya","Female","long storage periods months rotting attack pests"
"Intercropping (with beans)","Preferred","Kenya","Female","uses little fertilizer grow diversified production guaranteed"
"Food and fodder","Preferred","Kenya","Male","highly productive human livestock consumption"
"Resilience","Preferred","Kenya","Female","withstand drought disease"
"Drought avoidance","Preferred","Kenya","Female","resistant drought disease"
"Resilience","Preferred","Kenya","Female","takes duration months"
"Intercropping (with beans)","Preferred","Kenya","Male","improves soil fertility saves land"
"Home use","Preferred","Kenya","Male","resistant post harvest effect"
"Intercropping (with beans)","Preferred","Kenya","Female","planned forces farmer forego ensures good yield"
"Drought avoidance","Preferred","Kenya","Male","drought commonths area"
"Family nutrition","Preferred","Kenya","Female","color smart nutritious household"
"Intercropping (with beans)","Preferred","Kenya","Male","farmer small land ensure harvest maize"
"Home use","Preferred","Kenya","Male","postharvest losses"
"Drought avoidance","Preferred","Kenya","Male","drought seasons"
"Resilience","Preferred","Kenya","Male","resistant disease"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop"
"Resilience","Preferred","Kenya","Male","resistant drought"
"Drought avoidance","Preferred","Kenya","Male","shorter maturity periods"
"Drought avoidance","Preferred","Kenya","Male","changing rainfall patter suitable maize highly resistant drought disease"
"Home use","Preferred","Kenya","Female","maize produces sweeter flour"
"Family nutrition","Preferred","Kenya","Male","presense nutritious moderately resistant drought disease moderate fertilizer requirement"
"Intercropping (with beans)","Preferred","Kenya","Female","maize grown crop"
"Home use","Preferred","Kenya","Female","produces sweeter maize flour"
"Home use","Preferred","Kenya","Male","household"
"Intercropping (with beans)","Preferred","Kenya","Female","uses less fertilizer helps improve soil fertility"
"Livestock feed","Preferred","Kenya","Male","good fodder livestock poultry farm"
"Family nutrition","Preferred","Kenya","Female","good children"
"Intercropping (with beans)","Preferred","Kenya","Male","similar planting"
"Home use","Preferred","Kenya","Female","high storage life easily affected pests"
"Family nutrition","Preferred","Kenya","Male","nutritious"
"Intercropping (with beans)","Preferred","Kenya","Male","able intercrop crop"
"Resilience","Preferred","Kenya","Female","ability perform low rainfall distributed areas"
"Drought avoidance","Preferred","Kenya","Male","maturity fast ability avoids drought disease"
"Drought avoidance","Preferred","Kenya","Female","takes shorter time harvest"
"Family nutrition","Preferred","Kenya","Female","nutritious nutritious normal high yield nutritious"
"Home use","Preferred","Kenya","Female","last long storage treatment months sold"
"Resilience","Preferred","Kenya","Male","good shorter rainfall resilient drought disease"
"Home use","Preferred","Kenya","Male","storage long futurd household consumption"
"Intercropping (with beans)","Preferred","Kenya","Male","produces cobs stalk"
"Drought avoidance","Preferred","Kenya","Female","maturity fast causes theft attack birds pests"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop maize"
"Food and fodder","Preferred","Kenya","Female","leaves fodder livestock rainfall human consumption"
"Home use","Preferred","Kenya","Male","last months treated"
"Drought avoidance","Preferred","Kenya","Male","takes months maturity"
"Livestock feed","Preferred","Kenya","Female","fodder poultry poultry farmer"
"Resilience","Preferred","Kenya","Female","takes shorter time maturity give yield irrespective amount rainfall"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop crop"
"Food and fodder","Preferred","Kenya","Male","multiple uses"
"Intercropping (with beans)","Preferred","Kenya","Male","diversified harvest guaranteed"
"Drought avoidance","Preferred","Kenya","Male","shorter maturity periods makes possible planted seasons shorter rainfall"
"Resilience","Preferred","Kenya","Male","less fertilizer requirement grown less fertility soil"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop diversified production"
"Resilience","Preferred","Kenya","Female","high endurance disease yield little rainfall"
"Drought avoidance","Preferred","Kenya","Male","sure harvest drought strikes"
"Intercropping (with beans)","Preferred","Kenya","Female","ensure good yield maize"
"Resilience","Preferred","Kenya","Female","area drought oftenly"
"Drought avoidance","Preferred","Kenya","Female","harvested drought"
"Intercropping (with beans)","Preferred","Kenya","Female","less requirement"
"Family nutrition","Preferred","Kenya","Female","sold schools grown commercially"
"Home use","Preferred","Kenya","Male","stays long destruction pests"
"Resilience","Preferred","Kenya","Female","resistant drought disease"
"Family nutrition","Preferred","Kenya","Female","nutritious nutritious"
"Resilience","Preferred","Kenya","Male","resistant drought"
"Food and fodder","Preferred","Kenya","Male","food livestock fodder"
"Home use","Preferred","Kenya","Female","high harvestyield"
"Resilience","Preferred","Kenya","Female","resistant disease"
"Food and fodder","Preferred","Kenya","Female","higher rainfall maize production"
"Home use","Preferred","Kenya","Male","mostly good food production"
"Intercropping (with beans)","Preferred","Kenya","Male","less fertilizer requirement cobs plant"
"Home use","Preferred","Kenya","Male","mainly grown food therefore important food security"
"Resilience","Preferred","Kenya","Male","less fertilizer requirement higher resistant drought disease"
"Intercropping (with beans)","Preferred","Kenya","Female","less fertilizer requirement cobs plant allows intercrop crop"
"Family nutrition","Preferred","Kenya","Male","highly nutritious contains nutritious beta carotene maturity earlier months"
"Home use","Preferred","Kenya","Female","multipurpose"
"Drought avoidance","Preferred","Kenya","Male","withstand drought takes lesser duration maturity"
"Intercropping (with beans)","Preferred","Kenya","Male","uses less fertilizer"
"Intercropping (with beans)","Preferred","Kenya","Male","uses less fertilizer"
"Home use","Preferred","Kenya","Male","multipurpose"
"Family nutrition","Preferred","Kenya","Female","presence nutritious color sells"
"Home use","Preferred","Kenya","Male","storage periods months rotting attack pests lack money purchase pesticides harvest"
"Green maize","Preferred","Kenya","Female","sweet characteristi planted intends plant next sean"
"Food and fodder","Preferred","Kenya","Male","human livestock benefits"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop improves soil nutrient benefits crop planted later"
"Drought avoidance","Preferred","Kenya","Female","drought resistant"
"Resilience","Preferred","Kenya","Male","drought disease resistant"
"Home use","Preferred","Kenya","Female","storage long pests tasty"
"Food and fodder","Preferred","Kenya","Female","food livestock fodder"
"Resilience","Preferred","Kenya","Male","area close forest disease resilience priority"
"Green maize","Preferred","Kenya","Female","sold green land cleared planted second seasons"
"Green maize","Preferred","Kenya","Female","tasty requirement similar planned"
"Intercropping (with beans)","Preferred","Kenya","Female","less uses good yield"
"Drought avoidance","Preferred","Kenya","Male","shorter maturity periods"
"Green maize","Preferred","Kenya","Male","sold fast earn money different uses"
"Intercropping (with beans)","Preferred","Kenya","Female","low fertilizer requirement gives cobs plant"
"Drought avoidance","Preferred","Kenya","Female","still produces harvest drought high disease resistant"
"Resilience","Preferred","Kenya","Male","high resistant drought disease less fertilizer requirement"
"Food and fodder","Preferred","Kenya","Female","suitable livestock uses human consumption"
"Intercropping (with beans)","Preferred","Kenya","Female","harvest crop field"
"Home use","Preferred","Kenya","Female","allows months storage periods using special storage bags"
"Drought avoidance","Preferred","Kenya","Male","early maturity disease resistant"
"Resilience","Preferred","Kenya","Female","disease resistant got low fertilizer need"
"Home use","Preferred","Kenya","Female","allows months storage periods using special storage bags risks rainfall loss"
"Resilience","Preferred","Kenya","Male","disease resistant uses low fertilizer amount"
"Home use","Preferred","Kenya","Female","uses attributes conquer needs household"
"Home use","Preferred","Kenya","Female","long storage periods major losses high yield"
"Drought avoidance","Preferred","Kenya","Male","resistant drought less fertilizer maturity"
"Resilience","Preferred","Kenya","Female","less fertilizer disease drought"
"Home use","Preferred","Kenya","Male","long storage periods major losses"
"Intercropping (with beans)","Preferred","Kenya","Female","harvest maize"
"Drought avoidance","Preferred","Kenya","Female","loss output"
"Resilience","Preferred","Kenya","Male","resistant crop pests extreme weather conditions"
"Home use","Preferred","Kenya","Female","long storage periods"
"Green maize","Preferred","Kenya","Male","food consumption fodder livestock leftovers"
"Intercropping (with beans)","Preferred","Kenya","Male","gives cobs plant"
"Food and fodder","Preferred","Kenya","Male","gives enough food household consumption livestock fodder"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop benefits farmer withmaize harvest"
"Drought avoidance","Preferred","Kenya","Male","takes shorter time maturity"
"Drought avoidance","Preferred","Kenya","Female","resistant drought"
"Green maize","Preferred","Kenya","Female","food sold"
"Intercropping (with beans)","Preferred","Kenya","Male","double cobbing high yield"
"Intercropping (with beans)","Preferred","Kenya","Male","benefits nutrient legumes higher yield"
"Family nutrition","Preferred","Kenya","Male","fetch much revenues profits"
"Resilience","Preferred","Kenya","Male","requires less fertilizer low rainfall"
"Food and fodder","Preferred","Kenya","Male","gives food fodder"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop"
"Food and fodder","Preferred","Kenya","Male","gives enough food consumption fodder livestock"
"Home use","Preferred","Kenya","Male","storage months attacked pests rotting"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop increase levels Nitrogen soil"
"Drought avoidance","Preferred","Kenya","Female","drought disease resistant shorter maturity periods"
"Food and fodder","Preferred","Kenya","Female","provides food needs needs dairy livestock"
"Family nutrition","Preferred","Kenya","Female","nutritious good small children"
"Drought avoidance","Preferred","Kenya","Female","shorter maturity periods"
"Resilience","Preferred","Kenya","Male","less uses fertilizer caters household uses food"
"Intercropping (with beans)","Preferred","Kenya","Male","produces double cobs"
"Green maize","Preferred","Kenya","Female","maturity months time moderate resistant drought disease"
"Drought avoidance","Preferred","Kenya","Female","drought tolerant"
"Family nutrition","Preferred","Kenya","Female","got good taste"
"Resilience","Preferred","Kenya","Male","resistant disease"
"Intercropping (with beans)","Preferred","Kenya","Female","harvest maize"
"Drought avoidance","Preferred","Kenya","Female","ability withstand draught"
"Green maize","Preferred","Kenya","Male","high profit acre"
"Intercropping (with beans)","Preferred","Kenya","Male","double cobs maize"
"Family nutrition","Preferred","Kenya","Male","nutritious children selling school"
"Home use","Preferred","Kenya","Male","guaranteed household"
"Food and fodder","Preferred","Kenya","Female","household livestock benefits"
"Intercropping (with beans)","Preferred","Kenya","Male","high yield planting technique"
"Drought avoidance","Preferred","Kenya","Male","less rainfall"
"Family nutrition","Preferred","Kenya","Female","nutrient"
"Resilience","Preferred","Kenya","Male","produces less rainfall"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop"
"Food and fodder","Preferred","Kenya","Male","food fodder"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop high yield maturity months"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop give high yield"
"Family nutrition","Preferred","Kenya","Female","high yield milled produces lof flour"
"Livestock feed","Preferred","Kenya","Female","high yield good fortune livestock"
"Family nutrition","Preferred","Kenya","Male","nutritious white color"
"Intercropping (with beans)","Preferred","Kenya","Male","carry cobs maize plant yield low amounts fertilizer"
"Home use","Preferred","Kenya","Male","long storage time months special treatment good sweet taste making flour ugali"
"Home use","Preferred","Kenya","Female","storage months attack pests"
"Green maize","Preferred","Kenya","Female","forage fodder livestock"
"Green maize","Preferred","Kenya","Male","maturity months sell money"
"Resilience","Preferred","Kenya","Female","uses small amount fertilizer"
"Home use","Preferred","Kenya","Female","good household consumption"
"Drought avoidance","Preferred","Kenya","Male","survive drought disease"
"Family nutrition","Preferred","Kenya","Male","highly nutritious taste white maize"
"Home use","Preferred","Kenya","Male","storage months using preservation"
"Family nutrition","Preferred","Kenya","Male","highly nutritious takes months maturity"
"Intercropping (with beans)","Preferred","Kenya","Male","takes alot space farm causes low harvest"
"Resilience","Preferred","Kenya","Female","maturity early"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop crop requires less amount fertilizer"
"Family nutrition","Preferred","Kenya","Female","carotene nutritious making nutritious human"
"Drought avoidance","Preferred","Kenya","Female","maturity early avoids drought disease"
"Food and fodder","Preferred","Kenya","Female","nutritious livestock human"
"Home use","Preferred","Kenya","Male","long storage periods"
"Drought avoidance","Preferred","Kenya","Female","planted drought seasons shorter rainfall seasons"
"Family nutrition","Preferred","Kenya","Female","nutritious children"
"Home use","Preferred","Kenya","Female","similar plant"
"Intercropping (with beans)","Preferred","Kenya","Female","requires less amount fertilizer intercrop crop"
"Drought avoidance","Preferred","Kenya","Male","ability avoids drought disease maturity early"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop legumes helps nutrient soil gives least cobs plant"
"Home use","Preferred","Kenya","Female","high storage life good human consumption"
"Resilience","Preferred","Kenya","Female","good harvest theres shortage rainfall"
"Food and fodder","Preferred","Kenya","Female","fodder food"
"Drought avoidance","Preferred","Kenya","Male","good shorter rainfall drought seasons"
"Home use","Preferred","Kenya","Female","last long storage treatment takes shorter time harvest produces flour milled"
"Drought avoidance","Preferred","Kenya","Female","takes shorter time harvest good shorter rainfall"
"Resilience","Preferred","Kenya","Male","doesnt need lot fertilizer"
"Home use","Preferred","Kenya","Male","takes long time rotting"
"Livestock feed","Preferred","Kenya","Female","yellow maize"
"Family nutrition","Preferred","Kenya","Female","planted usual nutritious"
"Food and fodder","Preferred","Kenya","Female","good human consumption livestock consumption"
"Family nutrition","Preferred","Kenya","Male","highly nutritious"
"Resilience","Preferred","Kenya","Male","times low rainfall yield"
"Home use","Preferred","Kenya","Female","good flour"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop helps improve soil fertility"
"Green maize","Preferred","Kenya","Male","consumed green sold green market"
"Intercropping (with beans)","Preferred","Kenya","Female","high yield double cobs"
"Resilience","Preferred","Kenya","Male","resilient disease drought requires less fertilizer"
"Intercropping (with beans)","Preferred","Kenya","Male","encourages intercrop legumes acts Nitrogen fixers enriches soil"
"Family nutrition","Preferred","Kenya","Male","contains nutritious essential children adults"
"Green maize","Preferred","Kenya","Female","tasty compared"
"Home use","Preferred","Kenya","Female","tasty compared"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop ensures food security"
"Food and fodder","Preferred","Kenya","Female","high fibre content"
"Intercropping (with beans)","Preferred","Kenya","Male","big size maize high quality flour"
"Intercropping (with beans)","Preferred","Kenya","Female","fixes Nitrogen soil yield plant"
"Drought avoidance","Preferred","Kenya","Male","tolerates drought"
"Resilience","Preferred","Kenya","Male","resistant disease"
"Food and fodder","Preferred","Kenya","Female","fodder household livestock"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop uses less fertilizer"
"Food and fodder","Preferred","Kenya","Female","fodder household fodder livestock"
"Family nutrition","Preferred","Kenya","Female","nutritious helps general body strength children nutritious growth"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop nutrient soil"
"Home use","Preferred","Kenya","Female","good household uses"
"Resilience","Preferred","Kenya","Female","now sure rainfall pattern experiencing climate change need resistant pest disease drought"
"Home use","Preferred","Kenya","Female","good ugali"
"Food and fodder","Preferred","Kenya","Male","food fodder"
"Green maize","Preferred","Kenya","Male","good income ugali"
"Intercropping (with beans)","Preferred","Kenya","Male","less fertilizer requirement intercrop enriches soil Nitrogen"
"Green maize","Preferred","Kenya","Female","harvested sold green state avoiding post harvest loss associated pests"
"Home use","Preferred","Kenya","Female","storage long periods attacked pests"
"Drought avoidance","Preferred","Kenya","Male","shorter maturity periods high tolerance drought disease"
"Home use","Preferred","Kenya","Female","storage long periods harvest attacked pests"
"Green maize","Preferred","Kenya","Female","good size market"
"Drought avoidance","Preferred","Kenya","Female","good shorter seasons drought avoids"
"Drought avoidance","Preferred","Kenya","Female","tolerance drought"
"Resilience","Preferred","Kenya","Female","resistant drought disease uses less fertilizer compare"
"Food and fodder","Preferred","Kenya","Male","good fodder food"
"Resilience","Preferred","Kenya","Male","resilient drought disease uses less fertilizer"
"Intercropping (with beans)","Preferred","Kenya","Male","fixes Nitrogen soil uses less fertilizer"
"Drought avoidance","Preferred","Kenya","Female","maturity fast resistant disease"
"Resilience","Preferred","Kenya","Female","grow yield low fertility soil"
"Intercropping (with beans)","Preferred","Kenya","Female","fixes Nitrogen soil"
"Home use","Preferred","Kenya","Male","produces high yield improves food security"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop"
"Drought avoidance","Preferred","Kenya","Male","high resistant drought disease"
"Family nutrition","Preferred","Kenya","Female","contains nutritious essential children adults"
"Drought avoidance","Preferred","Kenya","Male","high resistant rate drought disease"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop nutrient soil requires less uses fertilizer"
"Family nutrition","Preferred","Kenya","Male","nutritious promoting nutritious growth among children"
"Home use","Preferred","Kenya","Female","produces highly long shelf"
"Drought avoidance","Preferred","Kenya","Male","shorter maturity periods resistant disease"
"Green maize","Preferred","Kenya","Female","sell first money cater household issues"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop enriches soil Nitrogen allows farmer harvest crop farm"
"Home use","Preferred","Kenya","Female","storage long periods harvest attacked pests"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop fixes Nitrogen soil"
